source_run,source_path,condition_id,model_comparison_condition_key,pair_id,outcome,task_success,execution_status,failure_phase,pipeline_failure_type,scenario_key,persona_key,run_type,speech_pattern_key,speech_performance_band,speech_performance_rank,agent_a_type,agent_a_audio_persona,agent_b_audio_persona,agent_b_model,agent_b_llm_size,agent_b_model_role,model_param_key,objective_mode,configured_tts_engine,configured_asr_engine,tts_engine,asr_engine,asr_search_width,asr_beam_size,network_seed,transfer_tolerance,dialogue_stagnation_limit,experiment_seed,iteration,route_valid,route_duration_min,turn_count,runtime_sec,automatic_eval_score,route_validity,constraint_satisfaction,word_error_rate,entity_error_rate,repair_success_rate,grounded_proposal_score,task_focus_score,dialogue_cost,failure_localization_score
20260710_195541_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,MC-ae78192ee0d6,P-2bde76c309,success,True,completed,,,morning_peak_cross_city,crowd_averse_rider,text_only,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,True,31.0,19.0,543.6139976519626,0.9401,1.0,1.0,0.0106,0.1,0.0,1.0,0.061,19.0,1.0
20260710_195541_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_195541_b-n0001_02,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-T,MC-5d60283a2624,P-c60b89701d,success,True,completed,,,midday_transfer,risk_averse_novice,text_only,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,True,28.0,11.0,532.6710506220115,0.976,1.0,1.0,0.0,0.0,1.0,1.0,0.0711,11.0,1.0
20260710_195601_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-01c2db85bd0c,P-7f24258767,success,True,completed,,,morning_peak_cross_city,focused_commuter,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,20.0,426.74338492995594,0.9076,1.0,1.0,0.1853,0.7727,1.0,1.0,0.061,20.0,1.0
20260710_195601_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-f633f77575a0,P-db6b076adf,success,True,completed,,,crowded_event_exit,delay_sensitive_traveler,audio_variant,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,6,6,77,2,2,77,0,True,28.0,9.0,654.2305019290652,0.9692,1.0,1.0,0.085,0.0,1.0,1.0,0.0609,9.0,1.0
20260710_200803_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-587337487caf,P-c60b89701d,failure,False,completed,asr,,midday_transfer,risk_averse_novice,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,False,,19.0,109.29653776600026,0.0598,0.0,0.0,0.7546,1.0,0.0,0.0,0.0769,19.0,1.0
20260710_200831_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_200831_b-n0001,C-MPCC-CAR-MC-PIP-FWH-Q05-DEFAU-SML-I0-f37d68de64-T,MC-c4d4bd2dea59,P-f37d68de64,failure,False,failed,task_outcome,ValueError,morning_peak_cross_city,crowd_averse_rider,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,11,11,77,2,3,77,0,False,,0.0,2.268441658001393,0.1125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20260710_200831_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-0bc96c6f251c,P-2bde76c309,failure,False,completed,asr,,morning_peak_cross_city,crowd_averse_rider,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,False,,5.0,31.815111347008497,0.0702,0.0,0.0,0.7229,1.0,1.0,0.0,0.0,5.0,1.0
20260710_201032_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-7d36c86caa14,P-2aa0006b49,success,True,completed,,,crowded_event_exit,risk_averse_novice,text_only,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,77,1,2,77,0,True,28.0,15.0,341.3328110189177,0.9326,1.0,1.0,0.0138,0.0,0.0,1.0,0.0874,15.0,1.0
20260710_201032_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201032_b-n0001_02,C-MPCC-CAR-MC-PIP-FWH-Q05-DEFAU-SML-I0-f37d68de64-A,MC-c13f340b9f59,P-f37d68de64,failure,False,failed,task_outcome,ValueError,morning_peak_cross_city,crowd_averse_rider,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,11,11,77,2,3,77,0,False,,0.0,2.1356875129276887,0.1125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20260710_201202_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-ef504eaf21f0,P-9316a45235,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,11.0,339.12674604402855,0.9755,1.0,1.0,0.0208,0.08,1.0,1.0,0.0729,11.0,1.0
20260710_201202_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-c02335f5adc5,P-3007c4b4eb,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,text_only,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,6,6,42,2,3,42,0,True,31.0,13.0,427.77873111201916,0.9563,1.0,1.0,0.0076,0.0769,1.0,1.0,0.0722,13.0,1.0
20260710_201432_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201432_b-n0001,C-AC-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-5965d4ad93-T,MC-5377b1ab2355,P-5965d4ad93,failure,False,failed,task_outcome,ValueError,airport_connection,focused_commuter,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,16,16,77,2,3,77,0,False,,0.0,6.1733694730792195,0.1125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20260710_201633_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201633_b-n0001,C-AC-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-5965d4ad93-A,MC-f80d3f91fa29,P-5965d4ad93,failure,False,failed,task_outcome,ValueError,airport_connection,focused_commuter,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,16,16,77,2,3,77,0,False,,0.0,5.746902909013443,0.1125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20260710_201833_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-2183689efd4e,P-83ccbc5057,success,True,completed,,,airport_connection,crowd_averse_rider,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,42,1,2,42,0,True,37.0,9.0,367.56222317297943,0.9559,1.0,1.0,0.0,0.0,1.0,0.973,0.0694,9.0,1.0
20260710_201933_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201933_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-A,MC-343fb31e8b1f,P-2aa0006b49,failure,False,completed,asr,,crowded_event_exit,risk_averse_novice,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,77,1,2,77,0,False,,9.0,69.0081813170109,0.0703,0.0,0.0,0.7222,1.0,0.0,0.0,0.051,9.0,1.0
20260710_202103_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_202103_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-A,MC-7f7096665ee9,P-9316a45235,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen/Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,13.0,362.9134280559374,0.9531,1.0,1.0,0.2315,0.963,1.0,1.0,0.0476,13.0,1.0
